	sequences per sample	iteration	IGNIMBRITE.2.NULL.5	IGNIMBRITE.1.NULL.4	LUNA.1.NULL.1	LUNA.2.NULL.2	LUNA.3.NULL.3	007SAT.A5.2.NULL.18	IGNIMBRITE.3.NULL.6	007SAT.A10.NULL.16	007SAT.A5.1.NULL.17	007SAT.C10.NULL.19
alpha_rarefaction_3251_1.txt	3251	1	439.25	397.09375	470.875	482.530120482	427.727272727	250.037037037	299.580645161	276.028571429	222.078947368	272.0
alpha_rarefaction_3251_2.txt	3251	2	453.442307692	388.323076923	530.020408163	476.923076923	393.413333333	237.206896552	318.226415094	283.181818182	243.111111111	260.184210526
alpha_rarefaction_3251_3.txt	3251	3	437.098360656	407.474576271	487.388888889	516.185185185	416.512820513	240.171428571	319.444444444	309.0	235.1	240.645833333
alpha_rarefaction_3251_4.txt	3251	4	455.887096774	413.842105263	441.444444444	477.611111111	432.181818182	244.791666667	339.524590164	299.5625	212.777777778	253.042553191
alpha_rarefaction_3251_5.txt	3251	5	433.101694915	371.878378378	513.508474576	492.121212121	420.638888889	227.028571429	350.571428571	245.27027027	207.636363636	241.346938776
alpha_rarefaction_3251_6.txt	3251	6	467.882352941	394.095238095	474.288135593	487.833333333	423.561643836	214.677419355	314.75	252.87804878	211.027777778	228.813953488
alpha_rarefaction_3251_7.txt	3251	7	456.226415094	367.887096774	554.47826087	519.373333333	454.652173913	249.964285714	345.305084746	255.5	235.2	251.523809524
alpha_rarefaction_3251_8.txt	3251	8	427.016949153	393.016666667	421.092307692	493.265060241	420.0	235.0	312.196721311	300.181818182	217.84375	247.386363636
alpha_rarefaction_3251_9.txt	3251	9	443.466666667	387.096774194	460.220338983	510.75	424.225352113	253.677419355	328.109090909	284.935483871	221.71875	238.675675676
alpha_rarefaction_3714_0.txt	3714	0	474.4375	405.15625	530.120689655	520.221052632	436.283783784	250.096774194	321.803571429	254.813953488	239.677419355	260.630434783
alpha_rarefaction_3714_1.txt	3714	1	465.596491228	389.378787879	494.524590164	509.959183673	408.666666667	247.096774194	339.716981132	251.5	212.5	241.0
alpha_rarefaction_3714_2.txt	3714	2	425.118421053	410.0	492.786885246	520.365591398	428.040540541	241.777777778	299.394366197	247.153846154	225.5	243.12244898
alpha_rarefaction_3714_3.txt	3714	3	450.223880597	375.347826087	471.537313433	484.184466019	423.240963855	224.617647059	304.164179104	261.525	236.0	252.6875
alpha_rarefaction_3714_4.txt	3714	4	494.725490196	395.04	502.28358209	546.625	407.470588235	255.933333333	326.2	253.857142857	229.5	259.731707317
alpha_rarefaction_3714_5.txt	3714	5	416.640625	394.957746479	482.125	552.034883721	431.232876712	239.03125	321.246153846	252.552631579	219.387096774	280.538461538
alpha_rarefaction_3714_6.txt	3714	6	426.514705882	423.089552239	518.016129032	494.894230769	420.548780488	265.615384615	322.75	274.078947368	222.333333333	238.902439024
alpha_rarefaction_3714_7.txt	3714	7	417.238095238	394.185714286	491.353846154	511.801980198	423.12345679	258.483870968	314.109375	278.238095238	222.935483871	241.788461538
alpha_rarefaction_3714_8.txt	3714	8	463.338709677	402.323076923	513.406779661	528.78021978	421.933333333	276.137931034	330.048387097	285.0	215.333333333	247.234042553
