#NodeID	NodeType	Abundance	Color	Size	Shape
New.CleanUp.ReferenceOTU1921	otu	3.0576	p__Chloroflexi	3.0576	otu
New.CleanUp.ReferenceOTU2219	otu	4.485	p__Cyanobacteria	4.485	otu
New.CleanUp.ReferenceOTU402	otu	6.9726	NA	6.9726	otu
New.CleanUp.ReferenceOTU2114	otu	4.7089	p__Cyanobacteria	4.7089	otu
255018	otu	4.4286	p__Actinobacteria	4.4286	otu
New.CleanUp.ReferenceOTU953	otu	5.1119	p__Cyanobacteria	5.1119	otu
New.CleanUp.ReferenceOTU3318	otu	5.3275	p__Chloroflexi	5.3275	otu
637267	otu	3.8899	p__Actinobacteria	3.8899	otu
New.CleanUp.ReferenceOTU497	otu	5.4509	p__Euryarchaeota	5.4509	otu
1128503	otu	9.2292	p__Proteobacteria	9.2292	otu
New.CleanUp.ReferenceOTU3228	otu	4.8188	p__Chloroflexi	4.8188	otu
New.CleanUp.ReferenceOTU3226	otu	4.7089	p__Cyanobacteria	4.7089	otu
New.CleanUp.ReferenceOTU3221	otu	4.0258	p__Chloroflexi	4.0258	otu
New.CleanUp.ReferenceOTU3222	otu	6.5462	NA	6.5462	otu
4363069	otu	8.9397	p__Actinobacteria	8.9397	otu
New.CleanUp.ReferenceOTU3765	otu	2.947	p__Cyanobacteria	2.947	otu
New.CleanUp.ReferenceOTU3164	otu	6.1516	p__Cyanobacteria	6.1516	otu
1000512	otu	4.8188	p__Actinobacteria	4.8188	otu
4416518	otu	7.4283	p__Euryarchaeota	7.4283	otu
New.CleanUp.ReferenceOTU3091	otu	4.0258	p__Planctomycetes	4.0258	otu
New.CleanUp.ReferenceOTU2549	otu	6.1627	p__Cyanobacteria	6.1627	otu
New.CleanUp.ReferenceOTU715	otu	4.8608	p__Actinobacteria	4.8608	otu
New.CleanUp.ReferenceOTU2781	otu	5.008	p__Chloroflexi	5.008	otu
New.CleanUp.ReferenceOTU2783	otu	3.0576	NA	3.0576	otu
New.CleanUp.ReferenceOTU1038	otu	2.9943	p__Chloroflexi	2.9943	otu
New.CleanUp.ReferenceOTU598	otu	16.8626	p__Euryarchaeota	16.8626	otu
New.CleanUp.ReferenceOTU594	otu	9.3144	p__Euryarchaeota	9.3144	otu
New.CleanUp.ReferenceOTU595	otu	15.0682	p__Euryarchaeota	15.0682	otu
New.CleanUp.ReferenceOTU590	otu	4.7892	p__Euryarchaeota	4.7892	otu
New.CleanUp.ReferenceOTU591	otu	4.7089	p__Chloroflexi	4.7089	otu
1100123	otu	8.2199	p__Actinobacteria	8.2199	otu
New.CleanUp.ReferenceOTU98	otu	8.8027	p__Chloroflexi	8.8027	otu
New.CleanUp.ReferenceOTU99	otu	5.7351	p__Chloroflexi	5.7351	otu
New.CleanUp.ReferenceOTU118	otu	5.4199	NA	5.4199	otu
New.CleanUp.ReferenceOTU119	otu	12.1853	p__Cyanobacteria	12.1853	otu
New.CleanUp.ReferenceOTU112	otu	7.6067	p__Cyanobacteria	7.6067	otu
New.CleanUp.ReferenceOTU91	otu	8.2935	NA	8.2935	otu
New.CleanUp.ReferenceOTU110	otu	9.5308	p__Chloroflexi	9.5308	otu
New.CleanUp.ReferenceOTU111	otu	13.1547	NA	13.1547	otu
New.CleanUp.ReferenceOTU94	otu	26.8796	p__Euryarchaeota	26.8796	otu
New.CleanUp.ReferenceOTU3544	otu	2.6959	NA	2.6959	otu
New.CleanUp.ReferenceOTU114	otu	5.1636	p__Chloroflexi	5.1636	otu
New.CleanUp.ReferenceOTU3546	otu	4.8188	NA	4.8188	otu
New.CleanUp.ReferenceOTU1495	otu	3.8294	p__Euryarchaeota	3.8294	otu
New.CleanUp.ReferenceOTU1494	otu	3.2943	p__Euryarchaeota	3.2943	otu
New.CleanUp.ReferenceOTU1497	otu	3.2943	p__Euryarchaeota	3.2943	otu
New.CleanUp.ReferenceOTU1496	otu	13.875	p__Euryarchaeota	13.875	otu
New.CleanUp.ReferenceOTU1491	otu	3.2943	p__Euryarchaeota	3.2943	otu
New.CleanUp.ReferenceOTU1322	otu	3.9683	p__Chloroflexi	3.9683	otu
New.CleanUp.ReferenceOTU1493	otu	3.8294	p__Euryarchaeota	3.8294	otu
New.CleanUp.ReferenceOTU1492	otu	4.5252	p__Euryarchaeota	4.5252	otu
New.CleanUp.ReferenceOTU688	otu	2.9943	NA	2.9943	otu
New.CleanUp.ReferenceOTU689	otu	5.7813	p__Actinobacteria	5.7813	otu
New.CleanUp.ReferenceOTU1498	otu	5.6281	p__Euryarchaeota	5.6281	otu
New.CleanUp.ReferenceOTU1329	otu	4.9926	p__Euryarchaeota	4.9926	otu
New.CleanUp.ReferenceOTU372	otu	6.9475	p__Cyanobacteria	6.9475	otu
New.CleanUp.ReferenceOTU374	otu	7.231	p__Euryarchaeota	7.231	otu
822489	otu	10.8743	p__Proteobacteria	10.8743	otu
New.CleanUp.ReferenceOTU758	otu	5.1172	p__Planctomycetes	5.1172	otu
New.CleanUp.ReferenceOTU759	otu	2.9943	p__Chloroflexi	2.9943	otu
New.CleanUp.ReferenceOTU208	otu	3.1051	p__FBP	3.1051	otu
New.CleanUp.ReferenceOTU209	otu	3.1051	NA	3.1051	otu
New.CleanUp.ReferenceOTU206	otu	6.9859	p__Actinobacteria	6.9859	otu
New.CleanUp.ReferenceOTU207	otu	5.4085	NA	5.4085	otu
New.CleanUp.ReferenceOTU204	otu	7.1154	p__Chloroflexi	7.1154	otu
New.CleanUp.ReferenceOTU205	otu	3.8899	p__Proteobacteria	3.8899	otu
New.CleanUp.ReferenceOTU202	otu	4.8499	p__Proteobacteria	4.8499	otu
New.CleanUp.ReferenceOTU203	otu	5.5741	p__Cyanobacteria	5.5741	otu
New.CleanUp.ReferenceOTU752	otu	4.6525	p__Actinobacteria	4.6525	otu
New.CleanUp.ReferenceOTU753	otu	3.5176	p__Chloroflexi	3.5176	otu
New.CleanUp.ReferenceOTU1143	otu	2.9943	NA	2.9943	otu
New.CleanUp.ReferenceOTU970	otu	4.2878	NA	4.2878	otu
New.CleanUp.ReferenceOTU972	otu	6.0994	p__Cyanobacteria	6.0994	otu
New.CleanUp.ReferenceOTU620	otu	7.1054	p__Chloroflexi	7.1054	otu
New.CleanUp.ReferenceOTU979	otu	4.0678	p__Cyanobacteria	4.0678	otu
4359064	otu	10.5786	p__FBP	10.5786	otu
New.CleanUp.ReferenceOTU2968	otu	4.0258	p__Gemmatimonadetes	4.0258	otu
New.CleanUp.ReferenceOTU2964	otu	4.0258	p__Chloroflexi	4.0258	otu
New.CleanUp.ReferenceOTU2967	otu	4.0258	p__Chloroflexi	4.0258	otu
65683	otu	2.9943	p__Planctomycetes	2.9943	otu
New.CleanUp.ReferenceOTU1475	otu	5.2769	p__Euryarchaeota	5.2769	otu
New.CleanUp.ReferenceOTU623	otu	6.3561	NA	6.3561	otu
New.CleanUp.ReferenceOTU1401	otu	3.2943	p__Euryarchaeota	3.2943	otu
New.CleanUp.ReferenceOTU1474	otu	6.1727	p__Euryarchaeota	6.1727	otu
New.CleanUp.ReferenceOTU2145	otu	3.8899	p__Cyanobacteria	3.8899	otu
New.CleanUp.ReferenceOTU2142	otu	3.3528	p__Chloroflexi	3.3528	otu
166076	otu	12.071	p__Actinobacteria	12.071	otu
New.CleanUp.ReferenceOTU3893	otu	4.7089	p__FBP	4.7089	otu
3230031	otu	2.6959	p__Bacteroidetes	2.6959	otu
New.CleanUp.ReferenceOTU1034	otu	4.2878	p__Cyanobacteria	4.2878	otu
New.CleanUp.ReferenceOTU626	otu	2.9943	p__Cyanobacteria	2.9943	otu
New.CleanUp.ReferenceOTU1958	otu	12.2504	p__Actinobacteria	12.2504	otu
New.CleanUp.ReferenceOTU2202	otu	12.4724	p__Actinobacteria	12.4724	otu
