#Sample	OTU	Abundance
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2470	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2479	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU424	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2274	4.9735
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2381	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2386	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2388	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU14	6.4034
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU18	6.8463
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2656	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2655	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2652	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU64	5.4204
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2729	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1411	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1673	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU168	5.8588
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1243	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1246	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2011	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2012	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2014	4.7874
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2017	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2018	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU856	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2260	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2268	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2390	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1844	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1845	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU152	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU472	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2487	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2484	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2647	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1984	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU254	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU251	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1465	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2708	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2329	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU928	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2001	5.1383
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2007	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2006	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1947	5.8588
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2254	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU211	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1854	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU210	5.4204
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1472	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1476	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU391	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2819	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2810	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2811	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2817	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU156	4.9735
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2038	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2034	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2033	5.8588
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2031	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2100	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2105	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU181	4.9735
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU727	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2752	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2756	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2391	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU728	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU128	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2399	3.1051
IGNIMBRITE.1.NULL.4	254635	2.2213
IGNIMBRITE.1.NULL.4	4378646	2.2213
IGNIMBRITE.1.NULL.4	4482374	2.2213
IGNIMBRITE.1.NULL.4	909173	5.3678
IGNIMBRITE.1.NULL.4	809392	9.7202
IGNIMBRITE.1.NULL.4	939546	3.0576
IGNIMBRITE.1.NULL.4	1106203	4.2717
