#NodeID	NodeType	Abundance	k	p	c	o	f
New.CleanUp.ReferenceOTU1336	otu	3.8294	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU1332	otu	7.6203	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU695	otu	2.9943	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU694	otu	2.9943	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__
New.CleanUp.ReferenceOTU1339	otu	3.0576	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
New.CleanUp.ReferenceOTU368	otu	8.3687	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__
New.CleanUp.ReferenceOTU363	otu	6.4104	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU362	otu	21.2383	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU218	otu	5.3451	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU749	otu	2.9943	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
New.CleanUp.ReferenceOTU745	otu	4.8972	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
New.CleanUp.ReferenceOTU741	otu	4.2033	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
New.CleanUp.ReferenceOTU10	otu	33.457	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU969	otu	4.2033	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
New.CleanUp.ReferenceOTU386	otu	14.7804	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU1868	otu	4.2805	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__AKIW781	f__
New.CleanUp.ReferenceOTU2918	otu	8.3687	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__	f__
New.CleanUp.ReferenceOTU2910	otu	3.2046	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU657	otu	2.9943	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae
