OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	taxonomy
New.CleanUp.ReferenceOTU55	6.20297111698399	-3.01605188517672	0.824658995948833	-3.65733218214217	0.000254854009762861	0.00113604414521411	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacteriaceae; NA
1115272	16.3115166409579	3.40961043130418	0.939845432098128	3.62784167997977	0.000285800417160238	0.00125275849521904	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
New.CleanUp.ReferenceOTU7	64.0973682088346	3.84057342673404	1.06382427953691	3.61015771176596	0.000306010883893066	0.00131555214646044	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Trueperaceae; g__Truepera; s__
New.CleanUp.ReferenceOTU51	8.95984716897687	-3.30654192345795	0.916780688131651	-3.60668801847965	0.000310130163804361	0.00131555214646044	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halolamina; s__
New.CleanUp.ReferenceOTU12	63.7527587023354	3.83231305468483	1.0642665037947	3.60089605471987	0.000317122352032813	0.00132385997753381	Unassigned; NA; NA; NA; NA; NA; NA
New.CleanUp.ReferenceOTU154	5.85836161048488	-2.92807753734054	0.831067900085569	-3.52327112747232	0.000426255068686663	0.00175164192288426	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU35	8.38549799147836	-3.21686448418021	0.92022278115835	-3.49574532389963	0.000472739666684372	0.00191277742058446	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; NA; NA
New.CleanUp.ReferenceOTU9	55.8267400528559	3.66489530291835	1.05816331670794	3.4634495876499	0.00053329651513451	0.00212510581030873	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__
New.CleanUp.ReferenceOTU338	7.92601864947954	-3.15674802171444	0.916172740137373	-3.4455816937329	0.000569831696749661	0.00223680203350986	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU248	7.69627897848013	-3.12702587859798	0.91316065114278	-3.42439840644102	0.000616162175845405	0.00238309782716679	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halosimplex; s__carlsbadense
New.CleanUp.ReferenceOTU362	4.93940292648725	-2.7347848126466	0.801685752482783	-3.41129277173394	0.00064655627251935	0.00246441014018245	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU549	5.05427276198695	-2.75567843121651	0.809983596584929	-3.40214103450374	0.000668601246330474	0.00251203039692735	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU92	20.6765703899466	3.37249657196832	1.00623491212269	3.3515996427255	0.000803461191652706	0.00293486518617586	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__AKIW781; f__; g__; s__
New.CleanUp.ReferenceOTU48	16.656126147457	3.28414081643403	0.979399163103715	3.35321995377921	0.000798772012914835	0.00293486518617586	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
1113193	4.93940292648725	-2.71747091746948	0.81408747859001	-3.33805762763494	0.00084366250047783	0.00303949640583109	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; NA; NA
2660671	6.77732029448251	-2.98933409624359	0.902669067265993	-3.31166116647565	0.0009274380135175	0.00329616483182571	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
673883	9.30445667547598	2.92194417690583	0.890323372866074	3.28189090161666	0.0010311349192857	0.00361584645029519	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
New.CleanUp.ReferenceOTU95	5.16914259748666	-2.74312579344932	0.839618650068059	-3.26710917298819	0.00108651771817934	0.00375992315633113	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacteriaceae; NA
New.CleanUp.ReferenceOTU43	9.64906618197509	2.93020380030766	0.904805577784919	3.238489983098	0.00120164240522045	0.00410431107237635	k__Bacteria; p__Chloroflexi; c__[Thermobacula]; o__[Thermobaculales]; f__[Thermobaculaceae]; g__Thermobaculum; s__
86556	16.8858658184564	3.22276191920345	0.997159620538918	3.23194186048338	0.00122952069365735	0.00414569156963951	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Trueperaceae; g__Truepera; s__
263308	11.3721137144706	3.02682971749022	0.937885778932702	3.22729034332379	0.00124968584195489	0.00416033123139641	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
New.CleanUp.ReferenceOTU1608	6.20297111698399	-2.88871576813819	0.896089614135578	-3.22369071415343	0.00126549999434111	0.00416033123139641	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
1110235	13.2100310824659	3.09615498380195	0.966419459883526	3.20373824444212	0.0013565574965866	0.00438464630274759	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
New.CleanUp.ReferenceOTU311	4.36505374898873	-2.56005727659174	0.799639659731062	-3.2015136385966	0.00136707603355628	0.00438464630274759	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__; s__
